Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
1;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Kraszowice;Budowa boiska wielofunkcyjnego;80 000,00
2;dolnośląskie;bolesławiecki;Gmina;Bolesławiec;Mierzwin;Budowa boiska wielofunkcyjnego;80 000,00
3;dolnośląskie;bolesławiecki;Gmina;Nowogrodziec;Gierałtów, Gierałtów 47;Budowa sali gimnastycznej;660 000,00
4;dolnośląskie;bolesławiecki;Gmina Miejska;Bolesławiec;Bolesławiec, oś. Przylesie;Budowa boiska piłkarskiego i boiska wielofunkcyjnego wraz z siłownią zewnętrzną;470 000,00
5;dolnośląskie;bolesławiecki;Powiat;Bolesławiecki;Bolesławiec, al. Tysiąclecia 51;Przebudowa boiska wielofunkcyjnego;90 000,00
6;dolnośląskie;bolesławiecki;Powiat;Bolesławiecki;Bolesławiec, ul. Komuny Paryskiej 6;Modernizacja boiska piłkarskiego i boiska wielofunkcyjnego, bieżni lekkoaletycznej i terenowych urządzeń sportowych;1 000 000,00
7;dolnośląskie;dzierżoniowski;Gmina Miejska;Dzierżoniów;Dzierżoniów, ul. Sikorskiego;Budowa siłowni zewnętrznej i dwóch placów zabaw;384 300,00
8;dolnośląskie;dzierżoniowski;Powiat;Dzierżoniowski;Bielawa, ul. Szkolna 5;Budowa boiska wielofunkcyjnego, siłowni zewętrznej i urządzeń lekkoatletycznych;229 700,00
9;dolnośląskie;głogowski;Gmina Miejska;Glogów;Głogów, ul. Gwiaździsta 2;Budowa kompleksu boisk, bieżni okrężnej 200 m i urządzeń lekkoatletycznych;837 600,00
10;dolnośląskie;głogowski;Powiat;Głogowski;Głogów, ul. Perseusza 5;Przebudowa boiska wielofunkcyjnego;445 200,00
11;dolnośląskie;jeleniogórski;Miasto;Szklarska Poręba;Szklarska Poręba, ul. Okrzei;Budowa skateparku i siłowni zewnętrznej;190 000,00
12;dolnośląskie;kamiennogórski;Gmina;Lubawka;Lubawka, ul. Przyjaciół Żołnierza 6a;Modernizacja boiska piłkarskiego i kompleksu lekkoatletycznego z bieżnią okrężną 400 m;767 300,00
13;dolnośląskie;kłodzki;Gmina;Polanica-Zdrój;Polanica-Zdrój, ul. Tadeusza Kościuszki 13;Przebudowa boiska wielofunkcyjnego;92 300,00
14;dolnośląskie;kłodzki;Gmina;Kłodzko;Krosnowice, działki 985/1, 985/9, 985/2;Budowa boiska wielofunkcyjnego wraz z urządzeniami lekkoatletycznymi;390 000,00
15;dolnośląskie;kłodzki;Gmina;Nowa Ruda;Ludwikowice Kłodzkie, ul. Wiejska 1;Budowa boiska wielofunkcyjnego;187 800,00
16;dolnośląskie;kłodzki;Gmina Miejska;Duszniki-Zdrój;Duszniki-Zdrój, al. Sybiraków;Budowa toru wrotkarskiego;615 000,00
17;dolnośląskie;kłodzki;Gmina Miejska;Duszniki-Zdrój;Duszniki-Zdrój, ul. Olimpijska;Modernizacja obiektu biathlonu zimowego i letniego;3 500 000,00
18;dolnośląskie;lubański;Gmina;Lubań;Pisarzowice, dz. nr 863, 862, 861, 868/1;Budowa kompleksu lekkoatletycznego i boiska wielofunkcyjnego;400 000,00
19;dolnośląskie;lubański;Gmina;Olszyna;Olszyna, działki 683, 738/1, 710/31, 710/33, 734, 684/2, 684/1, 740;Budowa boiska wielofunkcyjnego oraz budynku zaplecza;300 000,00
20;dolnośląskie;lubański;Gmina;Leśna;Leśna, Osiedle;Budowa bieżni okrężnej 4-torowej 200 m, bieżni prostej 6-torowej 100 m, skoczni do skoku w dal, rzutni do pchnięcia kulą i boiska wielofunkcyjnego wraz z budynkiem zaplecza;310 000,00
21;dolnośląskie;lubiński;Gmina;Ścinawa;Ścinawa, ul. Sportowa;Modernizacja boiska piłkarskiego i budowa urządzeń lekkoatletycznych;350 900,00
22;dolnośląskie;lubiński;Miasto i Gmina;Ścinawa;Ścinawa, ul. Sportowa;Modernizacja boiska piłkarskiego, boiska wielofunkcyjnego i siłowni zewnętrznej;882 600,00
23;dolnośląskie;lwówecki;Miasto i Gmina;Wleń;Wleń, ul. Dworcowa 10;Przebudowa bieżni prostej;50 000,00
24;dolnośląskie;lwówecki;Powiat;Lwówecki;Gryfów Śląski, ul. Wojska Polskiego 20;Przebudowa boiska wielofunkcyjnego;79 100,00
25;dolnośląskie;lwówecki;Gmina i Miasto;Lwówek Śląski;Zbylutów;Budowa boiska wielofunkcyjnego;100 000,00
26;dolnośląskie;m. Jelenia Góra;Miasto;Jelenia Góra;Jelenia Góra, ul. Obrońców Pokoju 10;Budowa boiska wielofunkcyjnego;125 000,00
27;dolnośląskie;m. Legnica;Gmina;Legnica;Legnica, al. J. Piłsudskiego 3;Budowa boiska wielofunkcyjnego, boiska do piłki siatkowej oraz bieżni okrężnej i bieżni prostej;217 100,00
28;dolnośląskie;m. Wałbrzych;Gmina;Wałbrzych;Wałbrzych, ul. Wysockiego 11a;Modernizacja hali sportowej;690 000,00
29;dolnośląskie;m. Wrocław;Szkoła/Uczelnia;Politechnika Wrocławska;Wrocław, ul. Chełmońskiego 12;Budowa hali sportowo-widowiskowej;2 000 000,00
30;dolnośląskie;m. Wrocław;Gmina;Wrocław;Wrocław, ul. Na Niskich Łąkach;Budowa dwóch boisk piłkarskich;1 118 700,00
31;dolnośląskie;m. Wrocław;Gmina;Wrocław;Wrocław, ul. Kamieńskiego 20;Budowa boiska wielofunkcyjnego i skoczni do skoku w dal;140 100,00
32;dolnośląskie;m. Wrocław;Gmina;Wrocław;Wrocław, ul. Brucknera 10;Rozbudowa i przebudowa budynku krytej pływalni;1 300 000,00
33;dolnośląskie;m. Wrocław;Gmina;Wrocław;Wrocław, ul. Graniczna, Żernicka i Buczka;Budowa torów do sportów wrotkarskich z zapleczem;1 500 000,00
34;dolnośląskie;milicki;Gmina;Krośnice;Krośnice, ul. Parkowa 14;Budowa krytej pływalni;930 500,00
35;dolnośląskie;milicki;Gmina;Milicz;Milicz, ul. Powstańców Wielkopolskich 5;Budowa boiska piłkarskiego;170 000,00
36;dolnośląskie;milicki;Gmina;Milicz;Milicz, ul. Powstańców Wielkopolskich 5;Budowa kompleksu lekkoatletycznego;350 000,00
37;dolnośląskie;oleśnicki;Miasto i Gmina;Bierutów;Bierutów, ul. Krasińskiego 3;Budowa kompleksu lekkoatletycznego;350 000,00
38;dolnośląskie;oławski;Gmina Miasto;Oława;Oława, ul. Lwowska 3;Budowa boiska wielofunkcyjnego, bieżni lekkoatletycznej prostej, skoczni do skoku w dal, rzutni do pchnięcia kulą;180 000,00
39;dolnośląskie;oławski;Gmina Miasto;Oława;Oława, ul. Żołnierzy AK 21;Budowa boiska wielofunkcyjnego oraz budowa placu zabaw;103 000,00
40;dolnośląskie;oławski;Powiat;Oławski;Oława, ul. Iwaszkiewicza;Budowa sali gimnastycznej;1 000 000,00
41;dolnośląskie;polkowicki;Powiat;Polkowicki;Chocianów, ul. Kolonialna;Budowa boiska wielofunkcyjnego i bieżni lekkoatletycznej;370 000,00
42;dolnośląskie;strzeliński;Gmina;Strzelin;Strzelin, ul. Staromiejska 64;Remont podłogi sali gimnastycznej;108 100,00
43;dolnośląskie;świdnicki;Gmina;Świdnica;Bystrzyca Górna 64;Budowa sali gimnastycznej;846 600,00
44;dolnośląskie;świdnicki;Powiat;Świdnicki;Świdnica, ul. Kościelna 32;Przebudowa boiska wielofunkcyjnego;118 870,00
45;dolnośląskie;świdnicki;Gmina Miasto;Świdnica;Świdnica, ul. Wałbrzyska 39;Przebudowa boiska wielofunkcyjnego wraz z urządzeniami lekkoatletycznymi;250 700,00
46;dolnośląskie;świdnicki;Inny;"LKS ""Stragona"" Strzegom";Morawa k/ Strzegomia;Modernizacja przeszkody wodnej wchodzącej w skład trasy crossu Hipodromu;195 000,00
47;dolnośląskie;trzebnicki;Powiat;Trzebnicki;Żmigród, ul. Rybacka 17;Budowa boiska wielofunkcyjnego oraz siłowni zewnętrznej;100 000,00
48;dolnośląskie;trzebnicki;Gmina;Oborniki Śląskie;Oborniki Śląskie ulice: Wrocławska 6, Kownackiego 3, Sikorskiego 3, Zielona;Budowa Street Workout Parku przy ul. Wrocławskiej 6/10, modernizacja Skate Parku przy ul. Zielonej oraz wykonanie placów zabaw przy Przedszkolu Miejskim przy ul. Sikorskiego oraz przy Gimnazjum przy ul. Kownackiego 3;80 600,00
49;dolnośląskie;trzebnicki;Gmina;Prusice;Strupina;Budowa boiska wielofunkcyjnego;150 000,00
50;dolnośląskie;wałbrzyski;Gmina;Jedlina-Zdrój;Jedlina-Zdrój, ul. Kłodzka;Przebudowa boiska treningowego;124 200,00
51;dolnośląskie;wałbrzyski;Inny;"Fundacja ""Szkoła Gminna Menadżersko-Księgowa""";Wałbrzych, ul. Armii Krajowej 35A;Modernizacja boiska wielofunkcyjnego;50 000,00
52;dolnośląskie;wałbrzyski;Gmina;Wałbrzych;Wałbrzych, ul. Chopina 1;Modernizacja stadionu lekkoatletycznego z budową boisk: piłkarskiego, wielofunkcyjnego oraz kortu tenisowego;11 000 000,00
53;dolnośląskie;wołowski;Gmina;Wołów;Wołów, ul. Ścinawska dz. Nr 7 AM-27;Budowa boiska wielofunkcyjnego, siłowni zewnętrznej, skateparku, placu zabaw wraz z budynkiem zaplecza;170 000,00
54;dolnośląskie;wrocławski;Gmina;Czernica;Ratowice, ul. Wrocławska 36;Budowa boiska wielofunkcyjnego;100 000,00
55;dolnośląskie;wrocławski;Gmina;Długołęka;Szczodre, ul. Trzebnicka 42;Budowa boiska wielofunkcyjnego;130 000,00
56;dolnośląskie;wrocławski;Gmina;Żórawina;Żórawina, ul. M. Kopernika 14;Budowa sali gimnastycznej;2 000 000,00
57;dolnośląskie;wrocławski;Gmina;Żórawina;Żórawina, ul. Wrocławska;Budowa zaplecza sanitarno-szatniowego boiska piłkarskiego;838 900,00
58;dolnośląskie;wrocławski;Gmina;Długołęka;Łozina, ul. Milicka 10;Budowa kompleksu lekkoatletycznego;175 000,00
59;dolnośląskie;wrocławski;Gmina;Żórawina;Żórawina;Budowa kompleksu lekkoatletycznego;350 000,00
60;dolnośląskie;ząbkowicki;Gmina;Ząbkowice Śląskie;Ząbkowice Śląskie, ul. Kusocińskiego 17;Budowa krytej pływalni;3 300 000,00
61;dolnośląskie;zgorzelecki;Gmina Miejska;Zgorzelec;Zgorzelec, ul. Poniatowskiego i ul. Szymanowskiego;Modernizacja boiska wielofunkcyjnego;134 100,00
62;dolnośląskie;zgorzelecki;Gmina;Zgorzelec;Trójca;Budowa sali gimnastycznej;2 000 000,00
63;dolnośląskie;złotoryjski;Gmina Miejska;Złotoryja;Złotoryja, ul. Sportowa 7;Modernizacja kompleksu lekkoatletycznego;1 300 000,00
64;kujawsko-pomorskie;bydgoski;Gmina;Osielsko;Osielsko, ul. Centeralna 7;Budowa boiska wielofunkcyjnego wraz z urzadzeniami lekkoatletycznymi;170 100,00
65;kujawsko-pomorskie;bydgoski;Gmina;Koronowo;Mąkowarsko, ul. Tucholska 8;Budowa sali gimnastycznej z zapleczem sanitarno-szatniowym;723 000,00
66;kujawsko-pomorskie;chełmiński;Gmina Miasto;Chełmno;Chełmno, ul. Nadrzeczna;Budowa kompleksu lekkoatletycznego;1 101 800,00
67;kujawsko-pomorskie;grudziądzki;Gmina;Grudziądz;Sztynwag;Budowa sali gimnastycznej;1 072 000,00
68;kujawsko-pomorskie;inowrocławski;Gmina Miasto;Inowrocław;Inowrocław, ul. Krzymińskiego 4;Przebudowa boiska wielofunkcyjnego i bieżni lekkoatletycznej;308 000,00
69;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Bydgoszcz, ul. Słoneczna 19;Budowa boiska wielofunkcyjnego i boiska piłkarskiego;236 000,00
70;kujawsko-pomorskie;m. Toruń;Gmina Miasta;Toruń;Toruń, ul. Popiełuszki 1-3;Budowa budynku przystani sportów wodnych - bazy treningowej;5 000 000,00
71;kujawsko-pomorskie;m. Włocławek;Gmina Miasto;Włocławek;Włocławek, ul. Szkolna 13;Budowa hali sportowej;1 350 000,00
72;kujawsko-pomorskie;m. Włocławek;Gmina Miasto;Włocławek;Włocławek, pl. Staszica;Budowa boiska wielofunkcyjnego i urządzeń lekkoatletycznych;148 200,00
73;kujawsko-pomorskie;mogileński;Gmina;Mogilno;Mogilno, ul. Józefga Trzcińskiego 2;Remont krytej pływalni;920 700,00
74;kujawsko-pomorskie;świecki;Gmina;Świecie;Świecie, Bydgoska 1;Budowa krytej pływalni;4 000 000,00
75;kujawsko-pomorskie;tucholski;Gmina;Tuchola;Tuchola, ulice: Pocztowa i Sienkiewicza;Przebudowa bieżni lekkoatletycznej przy SP nr 3 oraz boiska wielofunkcyjnego na Osiedlu Leśnym;100 000,00
76;kujawsko-pomorskie;żniński;Gmina;Gąsawa;Gąsawa, ul. Sportowa 1;Budowa kompleksu lekkoatletycznego;296 800,00
77;lubelskie;bialski;Gmina;Zalesie;Dobryń Duży;Budowa zespołu boisk (piłkarskie, wielofunkcyjne, do piłki siatkowe) i urządzeń lekkoatletycznych;100 000,00
78;lubelskie;bialski;Miasto;Międzyrzec Podlaski;Międzyrzec Podlaski, ul. Pszenna 3;Przebudowa i rozbudowa  budynku zaplecza stadionu;646 100,00
79;lubelskie;bialski;Gmina;Piszczac;Piszczac, ul. Cmentarna 15;Przebudowa boiska piłkarskiego i budynku zaplecza socjalno-sanitarnego;352 600,00
80;lubelskie;biłgorajski;Powiat;Biłgorajski;Biłgoraj, ul. Kościuszki 98;Przebudowa kompleksu sportowego;450 000,00
81;lubelskie;biłgorajski;Gmina;Księżpol;Majdan Stary działka nr 1288;Budowa boiska piłkarskiego;81 100,00
82;lubelskie;biłgorajski;Gmina;Tarnogród;Tarnogród, ul. 1 Maja 7;Remont sali gimnastycznej;109 700,00
83;lubelskie;hrubieszowski;Gmina Miejska;Hrubieszów;Hrubieszów, ul. Żeromskiego 29;Budowa boiska piłkarskiego, boiska wielofunkcyjnego, bieżni prostej, skateparku i ścianki wspinaczkowej;500 000,00
84;lubelskie;krasnostawski;Gmina;Krasnystaw;Siennica Nadolna;Budowa boisk sportowych z budynkiem zaplecza i trybunami;300 000,00
85;lubelskie;krasnostawski;Gmina;Siennica Różana;Siennica Różana;Budowa całorocznego lodowiska syntetycznego o wymiarach 20x10 m;99 000,00
86;lubelskie;kraśnicki;Powiat;Kraśnicki;Kraśnik, ul. Armii Krajowej 25;Budowa boiska wielofunkcyjnego;94 500,00
87;lubelskie;kraśnicki;Gmina;Wilkołaz;Wilkołaz Pierwszy;Budowa hali sportowej;2 000 000,00
88;lubelskie;lubartowski;Gmina;Jeziorzany;Przytoczno, Przytoczna 25;Budowa sali gimnastycznej;2 000 000,00
89;lubelskie;lubartowski;Miasto;Lubartów;Lubartów, ul. Parkowa;Budowa boiska piłkarskiego;900 000,00
90;lubelskie;lubelski;Gmina;Zakrzew;Zakrzew, Zakrzew 26;Budowa sali gimnastycznej;2 000 000,00
91;lubelskie;lubelski;Gmina;Niemce;Niemce, ul. Różana;Budowa skateparku;100 000,00
92;lubelskie;łęczyński;Gmina;Łęczna;Łęczna, ul. Szkolna 3;Przebudowa kompleksu sportowego (boisko piłkarskie, boisko wielofunkcyjne, bieżnia okrężna 3 torowa o długości 240 m, boisko do piłki plazowej, siłownia plenerowa;350 000,00
93;lubelskie;łęczyński;Gmina;Spiczyn;Spiczyn;Remont sali gimnastycznej oraz przebudowa boiska wielofunkcyjnegoi bieżni;134 000,00
94;lubelskie;łęczyński;Powiat;Łęczyński;Kijany, Kijany 19;Modernizacja sali gimnastycznej z zapleczem socjalnym;141 700,00
95;lubelskie;łęczyński;Powiat;Łęczyński;Łęczyca, ul. Bogdanowicza 9;Modernizacja sal gimnastycznych z zapleczem;181 300,00
96;lubelskie;łukowski;Miasto;Łuków;Łuków, ul. Piłsudskiego 17;Budowa kompleksu lekkoatletycznego;328 600,00
97;lubelskie;m. Lublin;Inny;"Spółdzielnia Mieszkaniowa ""CZECHÓW""";Lublin, ul. Koncertowa 7a i Kaprysowa 5;Modernizacja dwóch boisk (piłkarskiego i do koszykówki);200 000,00
98;lubelskie;m. Lublin;Gmina;Lublin;Lublin, ul. Wajdeloty 12;Budowa hali sportowej;1 500 000,00
99;lubelskie;m. Lublin;Gmina;Lublin;Lublin, ul. Krężnicka 156;Przebudowa boiska wielofunkcyjnego;150 000,00
100;lubelskie;m. Lublin;Gmina;Lublin;Lublin, ul. Krężnicka 156;Przebudowa boiska wielofunkcyjnego;70 000,00
101;lubelskie;m. Lublin;Gmina;Lublin;Lublin, ul. Adama Mickiewicza 24;Przebudowa kompleksu sportowego (boisko piłkarskie, boisko wielofunkcyjne, 4 torowa bieżnia prosta, skocznia w dal);350 000,00
102;lubelskie;m. Lublin;Gmina;Lublin;Lublin, ul. Adama Mickiewicza 24;Przebudowa boiska sportowego;146 200,00
103;lubelskie;m. Lublin;Szkoła/Uczelnia;Politechnika Lubelska;Lublin, ul. Nadbystrzycka 38b;Przebudowa, nadbudowa i remont hali sportowej;1 000 000,00
104;lubelskie;m. Lublin;Gmina;Lublin;Lublin, al. Zygmuntowskich 4;Budowa zespołu krytych pływalni;1 500 000,00
105;lubelskie;m. Lublin;Gmina;Lublin;Lublin, al. Józefa Piłsudskiego 22;Przebudowa i rozbudowa  stadionu lekkoatletycznego wraz z zapleczem;10 000 000,00
106;lubelskie;m. Zamość;Miasto;Zamość;Zamość, ul. Lwowska 15;Budowa boiska piłkarskiego;200 000,00
107;lubelskie;m. Zamość;Miasto;Zamość;Zamość, ul. Sienkiewicza 5;Budowa boiska wielofunkcyjnego;150 000,00
108;lubelskie;m. Zamość;Miasto;Zamość;Zamość, ul. Zamoyskiego 62A;Remont krytej pływalni - I etap;650 000,00
109;lubelskie;m. Zamość;Miasto;Zamość;Zamość, ul. Królowej Jadwigi 8;Budowa hali tenisowej trzykortowej z zapleczem szatniowo-sanitarnym;800 000,00
110;lubelskie;puławski;Powiat;Puławski;Puławy, ul. Wojska Polskiego 7;Budowa hali sportowej;400 000,00
111;lubelskie;puławski;Gmina;Puławy;Góra Puławska, ul. Ogrodowa 18;Budowa sali gimnastycznej;2 000 000,00
112;lubelskie;rycki;Powiat;Rycki;Ryki, ul. Słowackiego 12;Budowa boiska wielofunkcyjnego;100 000,00
113;lubelskie;rycki;Powiat;Rycki;Ryki, ul. Słowackiego 12;Budowa boiska wielofunkcyjnego;50 000,00
114;lubelskie;rycki;Miasto;Dęblin;Dęblin, ul. Tysiąclecia 25;Budowa boisk: piłkarskiego i wielofunkcyjnego i bieżni prostej;200 000,00
115;lubelskie;świdnicki;Gmina Miejska;Świdnik;Świdnik, ul. Kruczkowskiego;Modernizacja placu zabaw;49 900,00
116;lubelskie;świdnicki;Gmina Miejska;Świdnik;Świdnik, ul. Jarzębinowa 6;Budowa kompleksu lekkoatletycznego;432 500,00
117;lubelskie;tomaszowski;Gmina;Lubycza Królewska;Lubycza Królewska, ul. Parkowa;Przebudowa i rozbudowa terenowych urządzeń sportowych (w tym 2 boiska piłkarskie, boisko wielofunkcyjne, skatepark, tor rolkowy;350 000,00
118;lubelskie;tomaszowski;Miasto;Tomaszów Lubelski;Tomaszów Lubelski, Aleja Sportowa 8;Budowa toru wrotkarskiego;701 600,00
119;lubuskie;m. Gorzów Wielkopolski;Miasto;Gorzów Wielkopolski;Gorzów Wielkopolski, ul. Nowa 7;Budowa boiska wielofunkcyjnego;103 200,00
120;lubuskie;m. Gorzów Wielkopolski;Miasto;Gorzów Wielkopolski;Gorzów Wielkopolski, al. Konstytucji 3 Maja 44;Budowa boiska wielofunkcyjnego i boiska do koszykówki;96 100,00
121;lubuskie;m. Gorzów Wielkopolski;Miasto;Gorzów Wielkopolski;Gorzów Wielkopolski, ul. Towarowa 21;Budowa boiska wielofunkcyjnego;114 000,00
122;lubuskie;m. Gorzów Wielkopolski;Inny;"Centrum Sportowo-Rehabilitacyjne ""SŁOWIANKA"" Sp. z o.o.";Gorzów Wielkopolski, ul. Słowiańska 14;Remont zaplecza szatniowo-prysznicowego kompleksu basenowego;216 500,00
123;lubuskie;m. Zielona Góra;Miasto;Zielona Góra;Zielona Góra, ul. Sulechowska;Budowa Hali Tenisowej wraz z zagospodarowaniem terenu;2 000 000,00
124;lubuskie;międzyrzecki;Gmina;Skwierzyna;Skwierzyna, ul. Batorego 14;Remont sali gimnastycznej;278 500,00
125;lubuskie;nowosolski;Gmina;Nowa Sól;Przyborów, ul. Szkolna 16;Budowa boiska wielofunkcyjnego;101 900,00
126;lubuskie;nowosolski;Gmina;Nowa Sól;Nowa Sól, ul. Gimnazjalna 11;Budowa boiska piłkarskiego, wielofunkcyjnego, biezni okrężnej 150 m, skoczni do skoku w dal oraz przebudowa zaplecza sanitarno-szatniowego;535 100,00
127;lubuskie;nowosolski;Powiat;Nowosolski;Nowa Sól, ul. Gimnazjalna 9;Budowa kompleksu lekkoatletycznego;900 000,00
128;lubuskie;strzelecko-drezdenecki;Powiat;Strzelecko-Drezdenecki;Drezdenko, ul. M. Konopnickiej 2;Budowa boiska wielofunkcyjnego;99 700,00
129;lubuskie;sulęciński;Gmina;Słońsk;Słońsk, ul. 3-go Lutego działka o nr ew. 741/23;Budowa kortu tenisowego i boiska do koszykówki;150 200,00
130;lubuskie;sulęciński;Gmina;Sulęcin;Sulęcin, ul. Moniuszki;Remont kompleksu lekkoatletycznego;1 049 600,00
131;lubuskie;świebodziński;Gmina;Świebodzin;Świebodzin, ul. Sulechowska 6;"Remont Basenu Miejskiego ""Świewoda""";200 400,00
132;lubuskie;świebodziński;Gmina;Świebodzin;Świebodzin;Budowa kompleksu lekkoatletycznego;127 100,00
133;lubuskie;wschowski;Gmina;Sława;Stare Strącze, Stare Strącze 195;Budowa boiska wielofunkcyjnego z zadaszeniem namiotowym;255 700,00
134;lubuskie;zielonogórski;Gmina;Nowogród Bobrzański;Niwiska, ul. Akacjowa 1;Budowa sali gimnastycznej;1 248 700,00
135;lubuskie;zielonogórski;Gmina;Kargowa;Kargowa, działki nr 521, 526, 528, 750;Budowa sali gimnastycznej;1 671 000,00
136;lubuskie;zielonogórski;Gmina;Kargowa;Kargowa, ul. Marchlewskiego działki nr 355, 1390;Remont bieżni i boiska piłkarskiego;125 000,00
137;lubuskie;żagański;Gmina;Żagań;Żagań, ul. Wojska Polskiego 7;Budowa boiska wielofunkcyjnego, bieżni prostej i skoczni do skoku w dal;149 200,00
138;lubuskie;żarski;Gmina;Jasień;Jasień, ul. Podmokła 1;Remont sali gimnastycznej;61 400,00
139;lubuskie;żarski;Gmina;Brody;Brody, ul. Kilińskiego 11;Remont sali gimnastycznej wraz z zapleczem;137 600,00
140;łódzkie;bełchatowski;Gmina;Kluki;Kluki, ul. Szkolna 4;Budowa sali gimnastycznej;350 000,00
141;łódzkie;bełchatowski;Gmina;Bełchatów;Kałduny, Zawadów;Budowa zaplecza sportowego przy boisku w Kałdunach oraz zaplecza sportowego przy boisku w Zawadowie;119 000,00
142;łódzkie;bełchatowski;Gmina;Bełchatów;Janów;Budowa boiska wielofunkcyjnego i skoczni do skoku w dal;79 100,00
